time	V(vin)	V(vout)
7.844831250149458e-03	-8.276761e-03	3.316224e+00
7.864362500149458e-03	-7.527540e-03	3.309678e+00
7.893659375149457e-03	-6.195410e-03	3.298084e+00
7.922956250149457e-03	-4.653944e-03	3.284709e+00
7.952253125149456e-03	-2.955226e-03	3.270000e+00
7.963413839435170e-03	-2.270029e-03	3.264074e+00
7.974574553720885e-03	-1.582167e-03	3.258128e+00
7.985735268006599e-03	-8.916375e-04	3.252163e+00
7.996895982292312e-03	-1.984417e-04	3.246177e+00
8.008056696578026e-03	4.974207e-04	3.240171e+00
8.019217410863741e-03	1.195950e-03	3.234145e+00
8.030378125149455e-03	1.897145e-03	3.228100e+00
8.059675000149454e-03	3.662251e-03	3.212897e+00
8.088971875149453e-03	5.303614e-03	3.198787e+00
8.118268750149453e-03	6.765772e-03	3.186249e+00
8.147565625149452e-03	7.999321e-03	3.175712e+00
8.167096875149452e-03	8.673738e-03	3.169981e+00
8.186628125149451e-03	9.217693e-03	3.165388e+00
8.206159375149451e-03	9.623005e-03	3.162004e+00
8.225690625149450e-03	9.883579e-03	3.159881e+00
8.245221875149450e-03	9.995494e-03	3.159051e+00
8.264753125149450e-03	9.957068e-03	3.159527e+00
8.284284375149449e-03	9.768877e-03	3.161301e+00
8.303815625149449e-03	9.433755e-03	3.164347e+00
8.323346875149448e-03	8.956740e-03	3.168617e+00
8.342878125149448e-03	8.345006e-03	3.174047e+00
8.362409375149447e-03	7.607757e-03	3.180553e+00
8.391706250149447e-03	6.291271e-03	3.192110e+00
8.421003125149446e-03	4.762209e-03	3.205467e+00
8.450300000149446e-03	3.072237e-03	3.220168e+00
8.461460714435159e-03	2.389355e-03	3.226093e+00
8.472621428720874e-03	1.703207e-03	3.232038e+00
8.483782143006588e-03	1.013793e-03	3.238002e+00
8.494942857292302e-03	3.211143e-04	3.243987e+00
8.506103571578015e-03	-3.748302e-04	3.249992e+00
8.517264285863730e-03	-1.074040e-03	3.256016e+00
8.528425000149444e-03	-1.776516e-03	3.262061e+00
8.557721875149443e-03	-3.547786e-03	3.277262e+00
8.587018750149443e-03	-5.199180e-03	3.291378e+00
8.616315625149442e-03	-6.674899e-03	3.303936e+00
8.645612500149441e-03	-7.925079e-03	3.314517e+00
8.665143750149441e-03	-8.612014e-03	3.320296e+00
8.684675000149441e-03	-9.169417e-03	3.324952e+00
8.704206250149440e-03	-9.588904e-03	3.328416e+00
8.723737500149440e-03	-9.864164e-03	3.330638e+00
8.743268750149439e-03	-9.991057e-03	3.331585e+00
8.762800000149439e-03	-9.967676e-03	3.331242e+00
8.782331250149438e-03	-9.794373e-03	3.329616e+00
8.801862500149438e-03	-9.473752e-03	3.326729e+00
8.821393750149438e-03	-9.010638e-03	3.322624e+00
8.840925000149437e-03	-8.411995e-03	3.317362e+00
8.860456250149437e-03	-7.686828e-03	3.311021e+00
8.889753125149436e-03	-6.386184e-03	3.299695e+00
8.919050000149436e-03	-4.869758e-03	3.286533e+00
8.948346875149435e-03	-3.188787e-03	3.271975e+00
8.977643750149434e-03	-1.400070e-03	3.256508e+00
8.988804464435148e-03	-6.942933e-04	3.250412e+00
8.999965178720863e-03	6.360420e-06	3.244362e+00
9.011125893006577e-03	7.018912e-04	3.238360e+00
9.022286607292290e-03	1.392299e-03	3.232406e+00
9.033447321578004e-03	2.077584e-03	3.226498e+00
9.044608035863719e-03	2.757746e-03	3.220638e+00
9.055768750149433e-03	3.432786e-03	3.214826e+00
9.085065625149432e-03	5.093963e-03	3.200541e+00
