Freq.	V(vout)	V(n003)
1.65958690743754e+003	(4.54741846890810e-001dB,-2.39709690633877e+001°)	(4.56630314814279e-001dB,-2.27762396779771e+001°)
1.69824365246172e+003	(4.73712863703360e-001dB,-2.46157110728821e+001°)	(4.75690312119009e-001dB,-2.33931612150541e+001°)
1.73780082874935e+003	(4.93308489350441e-001dB,-2.52815909503727e+001°)	(4.95379109825725e-001dB,-2.40305731950343e+001°)
1.77827941003890e+003	(5.13527673958003e-001dB,-2.59695464251998e+001°)	(5.15695855414452e-001dB,-2.46893983094570e+001°)
1.81970085860996e+003	(5.34365730624491e-001dB,-2.66805674173924e+001°)	(5.36636068620549e-001dB,-2.53706110933225e+001°)
1.86208713666284e+003	(5.55813729740147e-001dB,-2.74156988796547e+001°)	(5.58191036189754e-001dB,-2.60752407592088e+001°)
1.90546071796322e+003	(5.77857812446668e-001dB,-2.81760436819030e+001°)	(5.80347125793943e-001dB,-2.68043740737704e+001°)
1.94984459975802e+003	(6.00478413607475e-001dB,-2.89627655050321e+001°)	(6.03085009478821e-001dB,-2.75591582432954e+001°)
1.99526231496885e+003	(6.23649383890515e-001dB,-2.97770917031813e+001°)	(6.26378786246429e-001dB,-2.83408037675897e+001°)
2.04173794466950e+003	(6.47336999631029e-001dB,-3.06203160804177e+001°)	(6.50194992440952e-001dB,-2.91505872081020e+001°)
2.08929613085401e+003	(6.71498848371317e-001dB,-3.14938015145426e+001°)	(6.74491487835937e-001dB,-2.99898538029921e+001°)
2.13796208950220e+003	(6.96082577277762e-001dB,-3.23989823441475e+001°)	(6.99216204624295e-001dB,-3.08600198452689e+001°)
2.18776162394952e+003	(7.21024491070039e-001dB,-3.33373664144111e+001°)	(7.24305745947185e-001dB,-3.17625747194837e+001°)
2.23872113856830e+003	(7.46247985848297e-001dB,-3.43105366539707e+001°)	(7.49683820348867e-001dB,-3.26990824693109e+001°)
2.29086765276774e+003	(7.71661805323614e-001dB,-3.53201520275650e+001°)	(7.75259498663973e-001dB,-3.36711827407117e+001°)
2.34422881531989e+003	(7.97158106628936e-001dB,-3.63679476772015e+001°)	(8.00925280515919e-001dB,-3.46805909134295e+001°)
2.39883291901945e+003	(8.22610324276801e-001dB,-3.74557340273761e+001°)	(8.26554958994015e-001dB,-3.57290971963426e+001°)
2.45470891568499e+003	(8.47870823261000e-001dB,-3.85853945887379e+001°)	(8.52001274507984e-001dB,-3.68185644210666e+001°)
2.51188643150954e+003	(8.72768336027237e-001dB,-3.97588821487029e+001°)	(8.77093352546443e-001dB,-3.79509242223055e+001°)
2.57039578276882e+003	(8.97105183369744e-001dB,-4.09782129863360e+001°)	(9.01633925397919e-001dB,-3.91281712422703e+001°)
2.63026799189534e+003	(9.20654286798949e-001dB,-4.22454586959743e+001°)	(9.25396345381161e-001dB,-4.03523549436360e+001°)
2.69153480392687e+003	(9.43155989951417e-001dB,-4.35627351495843e+001°)	(9.48121407157694e-001dB,-4.16255685610265e+001°)
2.75422870333812e+003	(9.64314719772217e-001dB,-4.49321880762876e+001°)	(9.69514009858645e-001dB,-4.29499346694627e+001°)
2.81838293126441e+003	(9.83795534816939e-001dB,-4.63559746891662e+001°)	(9.89239706374880e-001dB,-4.43275867998799e+001°)
2.88403150312656e+003	(1.00122062899706e+000dB,-4.78362407588646e+001°)	(1.00692120813622e+000dB,-4.57606465012348e+001°)
