time,V(vout3),V(vp)-V(vm)
3.078108180560857e-003,2.374616e+000,3.330562e-003
3.085083626989428e-003,2.343544e+000,3.600476e-003
3.092059073417999e-003,2.312625e+000,3.864765e-003
3.103917332346570e-003,2.260527e+000,4.299626e-003
3.115775591275141e-003,2.210428e+000,4.705507e-003
3.127633850203712e-003,2.162327e+000,5.082408e-003
3.139492109132284e-003,2.116227e+000,5.430329e-003
3.151350368060855e-003,2.072125e+000,5.749269e-003
3.163208626989426e-003,2.030022e+000,6.039230e-003
3.175066885917997e-003,1.989918e+000,6.300211e-003
3.182739876989426e-003,1.965757e+000,6.448016e-003
3.190412868060854e-003,1.942963e+000,6.580192e-003
3.198085859132283e-003,1.921537e+000,6.696740e-003
3.205758850203711e-003,1.901479e+000,6.797659e-003
3.213431841275139e-003,1.882789e+000,6.882950e-003
3.221104832346568e-003,1.865466e+000,6.952612e-003
3.228777823417996e-003,1.849512e+000,7.006645e-003
3.234358180560853e-003,1.838915e+000,7.035275e-003
3.239938537703710e-003,1.829159e+000,7.055224e-003
3.245518894846567e-003,1.820245e+000,7.066493e-003
3.251099251989424e-003,1.812172e+000,7.069082e-003
3.256679609132281e-003,1.804941e+000,7.062990e-003
3.262259966275138e-003,1.798550e+000,7.048218e-003
3.267840323417995e-003,1.793002e+000,7.024765e-003
3.272723135917995e-003,1.788875e+000,6.997220e-003
3.277605948417995e-003,1.785426e+000,6.963156e-003
3.282488760917995e-003,1.782654e+000,6.922571e-003
3.287371573417995e-003,1.780559e+000,6.875466e-003
3.292254385917995e-003,1.779141e+000,6.821842e-003
3.297137198417995e-003,1.778399e+000,6.761697e-003
3.302020010917995e-003,1.778334e+000,6.695032e-003
