Freq.,V(vout3)/(V(vp)-V(vm))
5.49540873857620e+000,(4.01899410273481e+001dB,-1.68116064782088e+002°)
5.62341325190344e+000,(4.01835688437848e+001dB,-1.68405197702092e+002°)
5.75439937337152e+000,(4.01774675393875e+001dB,-1.68687034969675e+002°)
5.88843655355584e+000,(4.01716263957911e+001dB,-1.68961803571797e+002°)
6.02559586074353e+000,(4.01660350394400e+001dB,-1.69229721479749e+002°)
6.16595001861477e+000,(4.01606834371995e+001dB,-1.69490998124650e+002°)
6.30957344480188e+000,(4.01555618943996e+001dB,-1.69745834843862e+002°)
6.45654229034650e+000,(4.01506610501516e+001dB,-1.69994425299962e+002°)
6.60693448007590e+000,(4.01459718718505e+001dB,-1.70236955874285e+002°)
6.76082975391976e+000,(4.01414856501587e+001dB,-1.70473606036620e+002°)
6.91830970918931e+000,(4.01371939908005e+001dB,-1.70704548692617e+002°)
7.07945784384132e+000,(4.01330888097674e+001dB,-1.70929950510425e+002°)
7.24435960074984e+000,(4.01291623238829e+001dB,-1.71149972227879e+002°)
7.41310241300911e+000,(4.01254070445553e+001dB,-1.71364768941501e+002°)
7.58577575029177e+000,(4.01218157692358e+001dB,-1.71574490378570e+002°)
7.76247116628685e+000,(4.01183815731930e+001dB,-1.71779281153308e+002°)
7.94328234724275e+000,(4.01150978009703e+001dB,-1.71979281008224e+002°)
8.12830516164092e+000,(4.01119580597748e+001dB,-1.72174625041618e+002°)
8.31763771102664e+000,(4.01089562095261e+001dB,-1.72365443922105e+002°)
8.51138038202369e+000,(4.01060863552989e+001dB,-1.72551864090992e+002°)
8.70963589956073e+000,(4.01033428394889e+001dB,-1.72734007953372e+002°)
8.91250938133738e+000,(4.01007202324498e+001dB,-1.72911994058511e+002°)
9.12010839355902e+000,(4.00982133274010e+001dB,-1.73085937270408e+002°)
9.33254300796983e+000,(4.00958171295487e+001dB,-1.73255948928947e+002°)
9.54992586021427e+000,(4.00935268493901e+001dB,-1.73422137002395e+002°)
9.77237220955802e+000,(4.00913378969459e+001dB,-1.73584606231773e+002°)
9.99999999999991e+000,(4.00892458717246e+001dB,-1.73743458267473e+002°)
1.02329299228075e+001,(4.00872465579080e+001dB,-1.73898791798855e+002°)
1.04712854805089e+001,(4.00853359152334e+001dB,-1.74050702677018e+002°)
1.07151930523760e+001,(4.00835100747737e+001dB,-1.74199284031307e+002°)
1.09647819614318e+001,(4.00817653302107e+001dB,-1.74344626379941e+002°)
1.12201845430195e+001,(4.00800981321720e+001dB,-1.74486817735048e+002°)
1.14815362149687e+001,(4.00785050828859e+001dB,-1.74625943702568e+002°)
1.17489755493952e+001,(4.00769829285774e+001dB,-1.74762087577194e+002°)
1.20226443461740e+001,(4.00755285554931e+001dB,-1.74895330432771e+002°)
1.23026877081237e+001,(4.00741389822454e+001dB,-1.75025751208382e+002°)
1.25892541179416e+001,(4.00728113570894e+001dB,-1.75153426790386e+002°)
1.28824955169312e+001,(4.00715429496641e+001dB,-1.75278432090646e+002°)
1.31825673855639e+001,(4.00703311485233e+001dB,-1.75400840121121e+002°)
